name,address,street,city_state_zip,country,latitude,longitude,rating,review_count,website,phone,place_id,categories,timezone
CrossFit Santa Barbara,"CrossFit Santa Barbara, 264 Orange Ave, Goleta, CA 93117, United States",264 Orange Ave,"Goleta, CA 93117",United States,34.4346713,-119.82860749999999,5,60,http://www.crossfitsantabarbara.com/,+1 805-699-6561,ChIJLbMv1YgT6YARy8Pak7Phm2M,"Fitness centre, Gym, Personal trainer, Physical Fitness Programme, Recreation Centre",America/Los_Angeles
CrossFit Golden Gate,"CrossFit Golden Gate, 1946 Van Ness Ave, San Francisco, CA 94109, United States",1946 Van Ness Ave,"San Francisco, CA 94109",United States,37.793802,-122.422607,4.9,183,http://crossfitgoldengate.com/,+1 415-609-4002,ChIJ82O32Sl-j4AR-OR3Ac14U9g,"Gym, Fitness centre, Personal trainer, Physical Fitness Programme, Sports club, Weightlifting area",America/Los_Angeles
CrossFit Parque das Nações,"CrossFit Parque das Nações, Estrada da Circunvalação, R. Salgueiro Maia 22B, 2685-311, Portugal",Estrada da Circunvalação,R. Salgueiro Maia 22B,2685-311,38.784439,-9.1309642,4.8,97,http://www.pdncrossfit.com/,+351 917 908 041,ChIJ7Rt8ydIzGQ0R6zFm5Ahx57o,Gym,Europe/Lisbon
CrossFit am See,"CrossFit am See, Anton-Sommer-Straße 7, 88046 Friedrichshafen, Germany",Anton-Sommer-Straße 7,88046 Friedrichshafen,Germany,47.651234099999996,9.5032373,5,55,http://www.crossfitamsee.de/,+49 160 92216098,ChIJd6gjf9kAm0cR_UJ2a3C36-4,"Physical Fitness Programme, Fitness centre, Gym",Europe/Berlin
CrossFit Riga,"CrossFit Riga, Ūdens iela 16, Kurzemes rajons, Rīga, LV-1007, Latvia",Ūdens iela 16,"Kurzemes rajons, Rīga, LV-1007",Latvia,56.9561843,24.072959899999997,4.9,142,http://www.crossfitriga.lv/,+371 26 675 530,ChIJ6wTQguPP7kYR91gPFdO59h8,Gym,Europe/Riga
CrossFit Dungeon - Gym Cairns,"CrossFit Dungeon - Gym Cairns, 2/261-273 McCormack St, Manunda QLD 4870, Australia",2/261-273 McCormack St,Manunda QLD 4870,Australia,-16.915153099999998,145.7448503,5,85,http://crossfitdungeon.com/,+61 489 267 040,ChIJ0U7-nDpkeGkRinXPdcj4JKw,"Gym, Fitness centre, Nutritionist, Personal trainer, Physical Fitness Programme, Weight-Loss Service, Weightlifting area, Yoga instructor",Australia/Brisbane
Gain Forth Barbell Club,"Unit 38, Gain Forth Barbell Club, Belfast BT13 2AU",Unit 38,Belfast,BT13 2AU,54.6018828,-5.948359399999999,4.9,51,https://gainforth.com/,07388 823540,ChIJW-Gq3GUIYUgRREvdW3QcwUE,"Gym, Boxing Gym, Fitness centre, Physical Fitness Programme, Weightlifting area",Europe/London
CrossFit FNC,"CrossFit FNC, Estr. Luso Brasileira 47B, 9050-284 Funchal, Portugal",Estr. Luso Brasileira 47B,9050-284 Funchal,Portugal,32.6673599,-16.9010651,4.8,136,http://www.crossfitfnc.com/,+351 965 457 172,ChIJHz6Q44hfYAwRCxA08GyLuRE,"Gym, Sports club",Europe/Lisbon
MIGHTY GYM H24 Giardini Naxos,"MIGHTY GYM H24 Giardini Naxos, Via Bruderi, 98039 Chianchitta ME, Italy",Via Bruderi,98039 Chianchitta ME,Italy,37.8294016,15.259112199999999,4.9,19,,+39 347 669 1144,ChIJbey_1O0RFBMRFoaCOTkeDQc,Gym,Europe/Rome
Sirocco Athletics Marrakech,"Sirocco Athletics Marrakech, شارع الدارالبيضاء، Marrakech, Morocco",شارع الدارالبيضاء,Marrakech,Morocco,31.637504,-8.0149895,4.8,244,https://www.sirocco-athletics.com/,+212 6 65 77 64 77,ChIJX-N5wQ3vrw0RoYF7mo_BLAc,"Gym, Coaching center",Africa/Casablanca
CrossFit Rhein-Neckar,"CrossFit Rhein-Neckar, Industriestraße 39, 68169 Mannheim, Germany",Industriestraße 39,68169 Mannheim,Germany,49.513247799999995,8.4700144,4.8,155,https://www.crossfit-rhein-neckar.de/,+49 1573 5992859,ChIJLd_2lM_Nl0cR95PtuLmtENw,"Fitness centre, Health consultant, Physical Fitness Programme, Sports complex",Europe/Berlin
PFP,"PFP, Oaktree Place, Manaton Cl, Exeter EX2 8WA",Oaktree Place,Manaton Cl,Exeter,50.697943699999996,-3.5258152,4.9,47,http://www.pfpgyms.co.uk/,07814 604317,ChIJoyg8RJembUgR-1s73154VP8,Gym,Europe/London
RAGTAG Training,"141 Cecil St, #01-01 RAGTAG Training, Tung Ann Association Building, Singapore 069541",141 Cecil St,#01-01,Tung Ann Association Building,1.2792636,103.8483789,5,12,http://ragtagtraining.com/,,ChIJSa19EbsZ2jERI969MHZ3FLI,Gym,Asia/Singapore
Training Room,"Training Room, 45 Triq it-Targa, Naxxar NXR 6613, Malta",45 Triq it-Targa,Naxxar NXR 6613,Malta,35.933788199999995,14.4463264,4.8,85,https://www.trainingroommalta.com/,+356 9946 0084,ChIJeXZSJv9ODhMRbwswk4fxZBU,Gym,Europe/Malta
"Crossfit Arch | Fitness Studio, Hyrox Studio & CrossFit Wien, 1190","Crossfit Arch | Fitness Studio, Hyrox Studio & CrossFit Wien, 1190, Heiligenstädter Str. 31, 1190 Wien, Austria",Heiligenstädter Str. 31,1190 Wien,Austria,48.234908999999995,16.355427,4.8,142,http://www.crossfitarch.com/,+43 1 3616800,ChIJwwSdv88HbUcRES4PCI1AC0s,"Gym, Physical Fitness Programme, Yoga studio",Europe/Vienna
Berlin Strength,"Berlin Strength, Revaler Str. 99/Halle 8.1, 10245 Berlin, Germany",Revaler Str. 99/Halle 8.1,10245 Berlin,Germany,52.507498999999996,13.455393599999999,4.8,228,http://www.berlinstrength.de/,+49 1520 9260619,ChIJW5V71VtOqEcRubO4rbFPAHY,Fitness centre,Europe/Berlin
Bambu Fitness Bali,"Bambu Fitness Bali, Jl. Pantai Bingin No.8, Bingin, South Kuta, Bali 80361, Indonesia",Jl. Pantai Bingin No.8,Bingin,South Kuta,-8.8116433,115.114007,4.7,1522,http://www.bambufitnessbali.com/,+62 812-4499-7721,ChIJiWAIKBRF0i0Rb3F0u26TsSY,"Gym, Cafe, Restaurant",Asia/Makassar
Fit On Lanta,"Fit On Lanta, 1037 Moo.2 Ban, Sala Dan, Ko Lanta District, Krabi 81150, Thailand",1037 Moo.2 Ban,"Sala Dan, Ko Lanta District",Krabi 81150,7.6041637,99.0369094,4.9,160,http://www.fitonlanta.com/,+66 92 458 5455,ChIJMSEplp8ETjARAb9nmzbBoA4,Gym,Asia/Bangkok
CrossFit Chiang Mai / CFCNX,"CrossFit Chiang Mai / CFCNX, 47 Chotana Rd, Mueang Chiang Mai District, Chiang Mai 50300, Thailand",47 Chotana Rd,Mueang Chiang Mai District,Chiang Mai 50300,18.8161403,98.98061059999999,4.9,328,http://cfcnxfitness.com/,+66 82 381 4938,ChIJL0kMpPM62jAR6EHwzZTp3uA,Gym,Asia/Bangkok
Raw Iron CrossFit,"Raw Iron CrossFit, 38 Commercial Dr, Ashmore QLD 4214, Australia",38 Commercial Dr,Ashmore QLD 4214,Australia,-27.978279299999997,153.3897931,4.9,85,https://rawiron.com.au/,+61 415 388 722,ChIJLQR-eqsakWsRalKoKMBYzJQ,"Gym, Fitness centre, Personal trainer, Sports club",Australia/Brisbane
Manapany,"Manapany, ZA des gregues, 7A Rue Jean Cocteau, Saint Joseph 97480, Réunion",ZA des gregues,7A Rue Jean Cocteau,Saint Joseph 97480,-21.3753185,55.601989599999996,4.8,13,,+262 693 91 81 09,ChIJLS9n79cNeCERqxi1wBWaY2E,Fitness centre,Indian/Reunion
CrossFit La Fournaise,"CrossFit La Fournaise, 14 rue leonel Francoise, L'Étang-Salé 97427, Réunion",14 rue leonel Francoise,L'Étang-Salé 97427,Réunion,-21.2775075,55.3696735,4.8,29,http://www.lafournaisecrossfit.com/,+262 262 18 93 19,ChIJ5SKUU5qjgiER8H1WJcfBlbs,Gym,Indian/Reunion
"Mahavéli Fit SUD, St-Pierre","Mahavéli Fit SUD, St-Pierre, 258 Rue Marius et Ary Leblond, Saint-Pierre 97410, Réunion",258 Rue Marius et Ary Leblond,Saint-Pierre 97410,Réunion,-21.3344184,55.462668,4.9,146,https://www.mahaveli.fr/,+33 1 79 35 19 74,ChIJcT8_Us-ggiERLD1xXxcAQNw,"Fitness centre, Gym, Sports complex",Indian/Reunion
Dundee Strength Unit,"6, Dundee Strength Unit, Douglas Court, W Henderson's Wynd, Dundee DD1 5BY",6,Douglas Court,W Henderson's Wynd,56.462211399999994,-2.9858579,4.8,36,http://facebook.com/dundeestrengthunit,07510 599325,ChIJAQBQOcZchkgR7frcYUa-41w,Gym,Europe/London
