name,added_by,note,address,street,city_state_zip,country,latitude,longitude,rating,review_count,website,phone,place_id,categories,timezone
CrossFit Ubud,Michael Glenn,,"CrossFit Ubud, Jl. Anak Agung Gede Rai, Lodtunduh, Ubud, Gianyar Regency, Bali 80571, Indonesia",Jl. Anak Agung Gede Rai,Lodtunduh,Ubud,-8.5335466,115.2629774,4.7,250,https://ubud.fitness/crossfit-ubud/,+62 877-5167-4566,ChIJHxc1lDo90i0RNNUn7tArMZg,Fitness center,Asia/Makassar
The Strip Barbell,Michael Glenn,,"The Strip Barbell, 4335 Dean Martin Dr Suite 410, Las Vegas, NV 89103, United States",4335 Dean Martin Dr Suite 410,"Las Vegas, NV 89103",United States,36.110247099999995,-115.1827558,4.9,706,http://thestripbarbell.com/,+1 702-766-3977,ChIJ7Z3jghzFyIAR8jZEVM1wnqQ,"Gym, Fitness center, Health counselor, Nutritionist, Personal trainer, Physical fitness program, Recording studio, Sauna, Weight loss service, Weightlifting area",America/Los_Angeles
CrossFit Southampton,Sara Strong,You can do open gym but call or message them on Instagram to find out about the time slots. In the evening it gets hard to get a platform.,"Unit 3B, CrossFit Southampton, Chicken Hall Ln, Eastleigh SO50 6RR, United Kingdom",Unit 3B,Chicken Hall Ln,Eastleigh SO50 6RR,50.9695238,-1.3478523,4.9,62,http://crossfitsouthampton.com/,+44 23 8218 2981,ChIJdVlBc_xydEgRJOPR3m1QrUw,Fitness center,Europe/London
Unit 4b Performance Hub,Daniel Griffin,Nice gym,"Unit 4b Performance Hub, Unit 4b Boyne Business Park, Greenhills, Drogheda, Co. Louth, A92 D883, Ireland",Unit 4b Boyne Business Park,Greenhills,Drogheda,53.725495099999996,-6.3234026,4.9,15,http://www.crossfitlouth.ie/,+353 86 457 5508,ChIJseSqgo87Z0gR8uB_hVQH7CI,Gym,Europe/Dublin
Spartan Fitness Ennis,Daniel Griffin,,"UNIT 12, Spartan Fitness Ennis, ENTERPRISE CENTRE, Gort Rd, INDUSTRIAL ESTATE, Ennis, Co. Clare, V95 E127, Ireland","UNIT 12, ENTERPRISE CENTRE",Gort Rd,INDUSTRIAL ESTATE,52.860020399999996,-8.9841217,4.9,34,https://www.spartanfitnessennis.com/,+353 87 250 8412,ChIJY0PNy3xtW0gRoAZFIDKQ9g8,Gym,Europe/Dublin
Cork Weightlifting Club,Daniel Griffin,,"Cork Weightlifting Club, Unit G1, Marina Commercial Park, Centre Park Rd, Cork, T12 YY1E, Ireland","Unit G1, Marina Commercial Park",Centre Park Rd,Cork,51.899142,-8.448607599999999,5,15,https://legitfit.com/p/timetable/corkweightliftingclub,+353 87 187 7878,ChIJtX1L_DWbREgRFiS4-8aLKjY,"Sports club, Club, Gym, Weightlifting area",Europe/Dublin
Crazy Strength,Sara Strong,,"13, Crazy Strength, The Beacon Centre Solar Way, Solstice park, Salisbury SP4 7SZ, United Kingdom","13, The Beacon Centre Solar Way",Solstice park,Salisbury SP4 7SZ,51.176722999999996,-1.7485422,5,37,http://www.crazystrength.co.uk/,+44 7734 824897,ChIJIYGYFqzlc0gRxn1_CSfI_Ao,Fitness center,Europe/London
GEHQ,Ciaran Barnes,,"unit 4, GEHQ, Ballybrakes Business Park, Ballybrakes Rd, Ballymoney BT53 6LW, United Kingdom","unit 4, Ballybrakes Business Park",Ballybrakes Rd,Ballymoney BT53 6LW,55.063095,-6.5255708,4.9,63,http://www.gehq.co.uk/,+44 7590 813681,ChIJy1xeLMYwYEgRSZrYSWETw8E,Gym,Europe/London
Asylum,Ciaran Barnes,,"Asylum, Crawfordsburn Industrial Estate, 23D Crawfordsburn Rd, Newtownards BT23 4EA, United Kingdom",Crawfordsburn Industrial Estate,23D Crawfordsburn Rd,Newtownards BT23 4EA,54.5995145,-5.7065046,4.5,28,http://www.asylumstrength.co.uk/,+44 7900 571495,ChIJNx71WeR0YUgRe7RqmMp-kPs,"Sports club, Gym",Europe/London
South Australian Sports Institute,Jean-Baptiste Adams,Nice platforms and equipment but would need to negotiate your way in. More of a national training centre.,"South Australian Sports Institute, 145B Railway Terrace, Mile End SA 5031, Australia",145B Railway Terrace,Mile End SA 5031,Australia,-34.9300243,138.57675509999999,4.3,6,http://www.sasi.sa.gov.au/,+61 1300 714 990,ChIJYcv6tLrFsGoRnnjwXqanc8k,Sports school,Australia/Adelaide
